"hh_ID","hh_size","neighb_code","hh_type","PC6","income_group","car_ownership"
1,5,"BU05183284","couple_with_children","2546RT","income_8_10",0
2,4,"BU05183284","single-parent","2546EG","income_2_10",1
3,5,"BU05183284","couple_with_children","2546VT","income_2_10",0
4,5,"BU05183284","couple_with_children","2546AN","income_3_10",0
5,4,"BU05183284","single-parent","2546VJ","income_5_10",0
6,4,"BU05183284","single-parent","2546CV","income_1_10",1
7,5,"BU05183284","couple_with_children","2546TX","income_9_10",0
8,4,"BU05183284","single-parent","2546EG","income_2_10",0
9,5,"BU05183284","couple_with_children","2546RV","income_5_10",0
10,4,"BU05183284","single-parent","2546TM","income_2_10",0
11,5,"BU05183284","couple_with_children","2546CZ","income_5_10",0
12,5,"BU05183284","couple_with_children","2545EE","income_5_10",0
13,5,"BU05183284","couple_with_children","2545EG","income_6_10",0
14,5,"BU05183284","couple_with_children","2546XS","income_6_10",0
15,5,"BU05183284","couple_with_children","2546ST","income_7_10",0
16,5,"BU05183284","couple_with_children","2546RT","income_10_10",0
17,5,"BU05183284","couple_with_children","2546CS","income_5_10",0
18,5,"BU05183284","couple_with_children","2545CP","income_1_10",0
19,4,"BU05183284","single-parent","2545EG","income_1_10",0
20,5,"BU05183284","couple_with_children","2546TK","income_7_10",0
21,5,"BU05183284","couple_with_children","2545ED","income_1_10",0
22,5,"BU05183284","couple_with_children","2546TL","income_5_10",0
23,5,"BU05183284","couple_with_children","2546XS","income_8_10",0
24,4,"BU05183284","single-parent","2546TE","income_1_10",1
25,5,"BU05183284","couple_with_children","2546AJ","income_8_10",0
26,4,"BU05183284","single-parent","2546TL","income_8_10",0
27,5,"BU05183284","couple_with_children","2546RV","income_1_10",0
28,5,"BU05183284","couple_with_children","2546AN","income_10_10",0
29,5,"BU05183284","couple_with_children","2545EJ","income_8_10",0
30,5,"BU05183284","couple_with_children","2546CR","income_10_10",0
31,5,"BU05183284","couple_with_children","2546AS","income_10_10",0
32,4,"BU05183284","single-parent","2546CP","income_6_10",1
33,5,"BU05183284","couple_with_children","2546BJ","income_10_10",0
34,4,"BU05183284","single-parent","2546TR","income_3_10",0
35,5,"BU05183284","couple_with_children","2546TL","income_5_10",0
36,5,"BU05183284","couple_with_children","2546TR","income_10_10",0
37,4,"BU05183284","single-parent","2546TJ","income_3_10",0
38,4,"BU05183284","single-parent","2546AC","income_10_10",1
39,5,"BU05183284","couple_with_children","2541XR","income_3_10",0
